start_tr	end_tr	start_s	end_s	label_ternary
0	2	0.0	4.2	0
2	3	4.2	6.300000000000001	-1
3	7	6.300000000000001	14.700000000000001	1
7	8	14.700000000000001	16.8	0
8	14	16.8	29.400000000000002	1
14	16	29.400000000000002	33.6	0
16	17	33.6	35.7	1
17	20	35.7	42.0	0
20	24	42.0	50.400000000000006	-1
24	31	50.400000000000006	65.10000000000001	0
31	32	65.10000000000001	67.2	-1
32	33	67.2	69.3	0
33	39	69.3	81.9	-1
39	40	81.9	84.0	0
40	42	84.0	88.2	1
42	43	88.2	90.3	0
43	44	90.3	92.4	1
44	47	92.4	98.7	0
47	55	98.7	115.5	1
55	56	115.5	117.60000000000001	0
56	57	117.60000000000001	119.7	1
57	59	119.7	123.9	-1
59	61	123.9	128.1	0
61	71	128.1	149.1	1
71	73	149.1	153.3	0
73	74	153.3	155.4	1
74	76	155.4	159.6	0
76	80	159.6	168.0	-1
80	87	168.0	182.70000000000002	0
87	90	182.70000000000002	189.0	-1
90	91	189.0	191.1	0
91	95	191.1	199.5	-1
95	98	199.5	205.8	0
98	101	205.8	212.10000000000002	-1
101	102	212.10000000000002	214.20000000000002	0
102	107	214.20000000000002	224.70000000000002	1
107	108	224.70000000000002	226.8	0
108	113	226.8	237.3	-1
113	118	237.3	247.8	0
118	132	247.8	277.2	1
132	133	277.2	279.3	0
133	134	279.3	281.40000000000003	-1
134	137	281.40000000000003	287.7	0
137	141	287.7	296.1	1
141	145	296.1	304.5	0
145	157	304.5	329.7	1
157	163	329.7	342.3	0
163	168	342.3	352.8	-1
168	171	352.8	359.1	0
171	172	359.1	361.2	1
172	176	361.2	369.6	0
176	180	369.6	378.0	-1
180	185	378.0	388.5	1
185	186	388.5	390.6	0
186	195	390.6	409.5	-1
195	202	409.5	424.20000000000005	0
202	213	424.20000000000005	447.3	-1
213	214	447.3	449.40000000000003	0
214	224	449.40000000000003	470.40000000000003	-1
224	225	470.40000000000003	472.5	0
225	226	472.5	474.6	-1
226	227	474.6	476.70000000000005	0
227	231	476.70000000000005	485.1	1
231	232	485.1	487.20000000000005	0
232	237	487.20000000000005	497.70000000000005	-1
237	238	497.70000000000005	499.8	0
