start_tr	end_tr	start_s	end_s	label_ternary
0	3	0.0	6.300000000000001	0
3	10	6.300000000000001	21.0	-1
10	15	21.0	31.5	0
15	16	31.5	33.6	-1
16	17	33.6	35.7	0
17	19	35.7	39.9	-1
19	21	39.9	44.1	0
21	28	44.1	58.800000000000004	-1
28	32	58.800000000000004	67.2	0
32	38	67.2	79.8	1
38	41	79.8	86.10000000000001	0
41	42	86.10000000000001	88.2	-1
42	44	88.2	92.4	0
44	56	92.4	117.60000000000001	1
56	60	117.60000000000001	126.0	0
60	64	126.0	134.4	-1
64	66	134.4	138.6	0
66	76	138.6	159.6	1
76	78	159.6	163.8	0
78	85	163.8	178.5	-1
85	97	178.5	203.70000000000002	0
97	108	203.70000000000002	226.8	-1
108	111	226.8	233.10000000000002	0
111	114	233.10000000000002	239.4	1
114	115	239.4	241.5	0
115	116	241.5	243.60000000000002	1
116	117	243.60000000000002	245.70000000000002	0
117	118	245.70000000000002	247.8	-1
118	120	247.8	252.0	0
120	126	252.0	264.6	-1
126	129	264.6	270.90000000000003	0
129	138	270.90000000000003	289.8	1
138	139	289.8	291.90000000000003	0
139	142	291.90000000000003	298.2	1
142	144	298.2	302.40000000000003	0
144	153	302.40000000000003	321.3	-1
153	156	321.3	327.6	0
156	164	327.6	344.40000000000003	1
164	168	344.40000000000003	352.8	0
168	171	352.8	359.1	-1
171	175	359.1	367.5	0
175	184	367.5	386.40000000000003	-1
184	187	386.40000000000003	392.7	0
187	189	392.7	396.90000000000003	1
189	190	396.90000000000003	399.0	0
190	194	399.0	407.40000000000003	-1
194	199	407.40000000000003	417.90000000000003	0
199	205	417.90000000000003	430.5	-1
205	208	430.5	436.8	0
208	212	436.8	445.20000000000005	1
212	213	445.20000000000005	447.3	0
213	220	447.3	462.0	-1
220	221	462.0	464.1	0
221	227	464.1	476.70000000000005	1
227	229	476.70000000000005	480.90000000000003	0
229	235	480.90000000000003	493.5	-1
235	241	493.5	506.1	0
241	242	506.1	508.20000000000005	1
242	243	508.20000000000005	510.3	0
243	250	510.3	525.0	1
250	253	525.0	531.3000000000001	0
253	268	531.3000000000001	562.8000000000001	1
268	271	562.8000000000001	569.1	0
271	274	569.1	575.4	-1
274	278	575.4	583.8000000000001	0
278	285	583.8000000000001	598.5	1
