patch_index	start_tr	end_tr	t_start_s	t_end_s	window_sum	label_binary
0	0	5	0.0	10.5	-5	0
1	5	10	10.5	21.0	-4	0
2	10	15	21.0	31.5	-5	0
3	15	20	31.5	42.0	-1	1
4	20	25	42.0	52.5	1	1
5	25	30	52.5	63.0	3	1
6	30	35	63.0	73.5	3	1
7	35	40	73.5	84.0	3	1
8	40	45	84.0	94.5	3	1
9	45	50	94.5	105.0	2	1
10	50	55	105.0	115.5	3	1
11	55	60	115.5	126.0	5	1
12	60	65	126.0	136.5	-5	0
13	65	70	136.5	147.0	-1	1
14	70	75	147.0	157.5	-1	1
15	75	80	157.5	168.0	5	1
16	80	85	168.0	178.5	4	1
17	85	90	178.5	189.0	-5	0
18	90	95	189.0	199.5	0	1
19	95	100	199.5	210.0	3	1
20	100	105	210.0	220.5	0	1
21	105	110	220.5	231.0	1	1
22	110	115	231.0	241.5	5	1
23	115	120	241.5	252.0	5	1
24	120	125	252.0	262.5	5	1
25	125	130	262.5	273.0	3	1
26	130	135	273.0	283.5	0	1
27	135	140	283.5	294.0	-2	0
28	140	145	294.0	304.5	-1	1
29	145	150	304.5	315.0	-4	0
30	150	155	315.0	325.5	-5	0
31	155	160	325.5	336.0	0	1
32	160	165	336.0	346.5	5	1
33	165	170	346.5	357.0	-3	0
34	170	175	357.0	367.5	-4	0
35	175	180	367.5	378.0	-2	0
36	180	185	378.0	388.5	0	1
37	185	190	388.5	399.0	3	1
38	190	195	399.0	409.5	3	1
39	195	200	409.5	420.0	2	1
40	200	205	420.0	430.5	2	1
41	205	210	430.5	441.0	2	1
42	210	215	441.0	451.5	-5	0
43	215	220	451.5	462.0	1	1
44	220	225	462.0	472.5	4	1
45	225	230	472.5	483.0	2	1
46	230	235	483.0	493.5	1	1
47	235	240	493.5	504.0	5	1
48	240	245	504.0	514.5	-1	1
49	245	250	514.5	525.0	-2	0
50	250	255	525.0	535.5	-2	0
51	255	260	535.5	546.0	-4	0
52	260	265	546.0	556.5	-4	0
53	265	270	556.5	567.0	-3	0
54	270	275	567.0	577.5	-4	0
55	275	280	577.5	588.0	-3	0
56	280	285	588.0	598.5	-5	0
