patch_index	start_tr	end_tr	t_start_s	t_end_s	window_sum	label_binary
0	0	5	0.0	10.5	-1	1
1	5	10	10.5	21.0	4	1
2	10	15	21.0	31.5	-2	0
3	15	20	31.5	42.0	-4	0
4	20	25	42.0	52.5	-3	0
5	25	30	52.5	63.0	5	1
6	30	35	63.0	73.5	5	1
7	35	40	73.5	84.0	5	1
8	40	45	84.0	94.5	1	1
9	45	50	94.5	105.0	-2	0
10	50	55	105.0	115.5	2	1
11	55	60	115.5	126.0	4	1
12	60	65	126.0	136.5	5	1
13	65	70	136.5	147.0	4	1
14	70	75	147.0	157.5	5	1
15	75	80	157.5	168.0	5	1
16	80	85	168.0	178.5	5	1
17	85	90	178.5	189.0	-3	0
18	90	95	189.0	199.5	0	1
19	95	100	199.5	210.0	-5	0
20	100	105	210.0	220.5	1	1
21	105	110	220.5	231.0	4	1
22	110	115	231.0	241.5	-5	0
23	115	120	241.5	252.0	-2	0
24	120	125	252.0	262.5	4	1
25	125	130	262.5	273.0	-2	0
26	130	135	273.0	283.5	3	1
27	135	140	283.5	294.0	5	1
28	140	145	294.0	304.5	4	1
29	145	150	304.5	315.0	1	1
30	150	155	315.0	325.5	2	1
31	155	160	325.5	336.0	5	1
32	160	165	336.0	346.5	5	1
33	165	170	346.5	357.0	1	1
34	170	175	357.0	367.5	4	1
35	175	180	367.5	378.0	-4	0
36	180	185	378.0	388.5	-2	0
37	185	190	388.5	399.0	-1	1
38	190	195	399.0	409.5	2	1
39	195	200	409.5	420.0	0	1
40	200	205	420.0	430.5	2	1
41	205	210	430.5	441.0	-4	0
42	210	215	441.0	451.5	-2	0
43	215	220	451.5	462.0	-4	0
44	220	225	462.0	472.5	-5	0
45	225	230	472.5	483.0	-2	0
46	230	235	483.0	493.5	-4	0
47	235	240	493.5	504.0	-5	0
48	240	245	504.0	514.5	-2	0
49	245	250	514.5	525.0	-3	0
50	250	255	525.0	535.5	-3	0
51	255	260	535.5	546.0	-4	0
52	260	265	546.0	556.5	2	1
53	265	270	556.5	567.0	-1	1
54	270	275	567.0	577.5	1	1
55	275	280	577.5	588.0	0	1
56	280	285	588.0	598.5	-1	1
57	285	290	598.5	609.0	-2	0
58	290	295	609.0	619.5	2	1
59	295	300	619.5	630.0	5	1
60	300	305	630.0	640.5	1	1
61	305	310	640.5	651.0	1	1
62	310	315	651.0	661.5	-1	1
63	315	320	661.5	672.0	4	1
64	320	325	672.0	682.5	-2	0
65	325	330	682.5	693.0	-5	0
66	330	335	693.0	703.5	1	1
67	335	340	703.5	714.0	-1	1
68	340	345	714.0	724.5	-5	0
69	345	350	724.5	735.0	-5	0
70	350	355	735.0	745.5	0	1
71	355	360	745.5	756.0	-4	0
72	360	365	756.0	766.5	-1	1
73	365	370	766.5	777.0	-2	0
74	370	375	777.0	787.5	-1	1
75	375	380	787.5	798.0	0	1
76	380	385	798.0	808.5	-5	0
77	385	390	808.5	819.0	-4	0
78	390	395	819.0	829.5	-3	0
79	395	400	829.5	840.0	2	1
80	400	405	840.0	850.5	1	1
