start_tr	end_tr	start_s	end_s	label_ternary
0	1	0.0	2.1	1
1	2	2.1	4.2	0
2	11	4.2	23.1	-1
11	13	23.1	27.3	0
13	14	27.3	29.400000000000002	-1
14	15	29.400000000000002	31.5	1
15	17	31.5	35.7	0
17	19	35.7	39.9	1
19	21	39.9	44.1	0
21	23	44.1	48.300000000000004	-1
23	26	48.300000000000004	54.6	0
26	29	54.6	60.900000000000006	1
29	30	60.900000000000006	63.0	0
30	31	63.0	65.10000000000001	1
31	32	65.10000000000001	67.2	0
32	35	67.2	73.5	1
35	36	73.5	75.60000000000001	0
36	39	75.60000000000001	81.9	-1
39	42	81.9	88.2	0
42	43	88.2	90.3	-1
43	44	90.3	92.4	0
44	51	92.4	107.10000000000001	-1
51	53	107.10000000000001	111.30000000000001	0
53	54	111.30000000000001	113.4	-1
54	55	113.4	115.5	0
55	56	115.5	117.60000000000001	1
56	57	117.60000000000001	119.7	0
57	67	119.7	140.70000000000002	1
67	68	140.70000000000002	142.8	0
68	72	142.8	151.20000000000002	-1
72	73	151.20000000000002	153.3	0
73	75	153.3	157.5	-1
75	79	157.5	165.9	0
79	85	165.9	178.5	1
85	88	178.5	184.8	0
88	91	184.8	191.1	-1
91	92	191.1	193.20000000000002	0
92	111	193.20000000000002	233.10000000000002	-1
111	116	233.10000000000002	243.60000000000002	0
116	117	243.60000000000002	245.70000000000002	-1
117	119	245.70000000000002	249.9	0
119	123	249.9	258.3	1
123	127	258.3	266.7	0
127	134	266.7	281.40000000000003	1
134	135	281.40000000000003	283.5	0
135	137	283.5	287.7	-1
137	141	287.7	296.1	0
141	142	296.1	298.2	1
142	146	298.2	306.6	0
146	152	306.6	319.2	1
152	155	319.2	325.5	0
155	156	325.5	327.6	-1
156	161	327.6	338.1	1
161	166	338.1	348.6	-1
166	171	348.6	359.1	1
171	174	359.1	365.40000000000003	0
174	176	365.40000000000003	369.6	1
176	177	369.6	371.7	0
177	181	371.7	380.1	-1
181	182	380.1	382.2	0
182	186	382.2	390.6	1
186	189	390.6	396.90000000000003	0
189	194	396.90000000000003	407.40000000000003	1
194	195	407.40000000000003	409.5	0
195	196	409.5	411.6	1
196	200	411.6	420.0	0
200	202	420.0	424.20000000000005	-1
202	207	424.20000000000005	434.70000000000005	0
207	208	434.70000000000005	436.8	-1
208	210	436.8	441.0	0
210	212	441.0	445.20000000000005	1
212	213	445.20000000000005	447.3	0
213	214	447.3	449.40000000000003	-1
214	215	449.40000000000003	451.5	0
215	217	451.5	455.70000000000005	-1
217	218	455.70000000000005	457.8	0
218	224	457.8	470.40000000000003	1
224	225	470.40000000000003	472.5	0
225	226	472.5	474.6	-1
226	232	474.6	487.20000000000005	1
232	235	487.20000000000005	493.5	0
235	236	493.5	495.6	-1
236	237	495.6	497.70000000000005	0
237	242	497.70000000000005	508.20000000000005	-1
242	244	508.20000000000005	512.4	0
244	247	512.4	518.7	1
247	249	518.7	522.9	0
249	260	522.9	546.0	-1
260	263	546.0	552.3000000000001	0
263	268	552.3000000000001	562.8000000000001	1
268	269	562.8000000000001	564.9	0
269	270	564.9	567.0	-1
270	271	567.0	569.1	0
271	272	569.1	571.2	1
272	275	571.2	577.5	0
275	281	577.5	590.1	-1
281	286	590.1	600.6	1
286	289	600.6	606.9	0
